 ,Label,Area,X,Y,Circ.,AR,Round,Solidity
1,coin.png,673.383,23.669,28.727,0.891,1.001,0.999,0.996
2,coin.png,550.146,54.996,30.181,0.895,1.001,0.999,0.996
3,coin.png,460.752,83.229,31.569,0.887,1.001,0.999,0.995
4,coin.png,394.594,109.206,32.226,0.818,1.001,0.999,0.994
5,coin.png,300.360,133.182,33.688,0.902,1.001,0.999,0.995
6,coin.png,188.141,153.684,35.687,0.676,1.002,0.998,0.987
7,coin.png,165.690,171.395,36.224,0.904,1.002,0.998,0.993
8,coin.png,0.320,83.251,43.604,0.028,112.000,0.009,1.000
9,coin.png,460.538,83.218,61.301,0.885,1.001,0.999,0.995
10,coin.png,394.631,109.196,60.216,0.819,1.001,0.999,0.994
11,coin.png,188.147,153.707,56.737,0.684,1.002,0.998,0.987
12,coin.png,165.767,171.424,56.222,0.899,1.001,0.999,0.993
13,coin.png,550.234,54.973,62.263,0.892,1.001,0.999,0.996
14,coin.png,300.403,133.266,58.809,0.897,1.001,0.999,0.995
15,coin.png,673.412,23.680,63.696,0.893,1.001,0.999,0.996
