 ,Label,Area,StdDev,X,Y,Circ.,AR,Round,Solidity
1,sand.jpg,0.021,0,1.561,0.138,0.722,1.878,0.532,0.942
2,sand.jpg,0.030,0,0.707,0.137,0.853,1.048,0.954,0.970
3,sand.jpg,0.028,0,1.278,0.142,0.757,1.594,0.627,0.951
4,sand.jpg,0.020,0,0.431,0.145,0.810,1.343,0.745,0.969
5,sand.jpg,0.013,0,0.141,0.137,0.866,1.190,0.840,0.964
6,sand.jpg,0.014,0,0.990,0.145,0.872,1.201,0.832,0.972
7,sand.jpg,0.036,0,0.711,0.416,0.786,1.301,0.769,0.963
8,sand.jpg,0.023,0,1.278,0.416,0.759,1.324,0.755,0.940
9,sand.jpg,0.018,0,0.420,0.425,0.806,1.147,0.872,0.941
10,sand.jpg,0.017,0,0.990,0.421,0.894,1.057,0.946,0.977
11,sand.jpg,0.018,0,1.554,0.421,0.871,1.178,0.849,0.971
12,sand.jpg,0.015,0,0.146,0.423,0.750,1.584,0.631,0.935
13,sand.jpg,0.040,0,1.562,0.707,0.711,1.439,0.695,0.957
14,sand.jpg,0.030,0,0.707,0.723,0.725,1.583,0.632,0.931
15,sand.jpg,0.023,0,0.996,0.715,0.738,1.180,0.847,0.943
16,sand.jpg,0.018,0,0.146,0.713,0.873,1.368,0.731,0.973
17,sand.jpg,0.013,0,1.277,0.711,0.745,1.549,0.646,0.948
18,sand.jpg,0.011,0,0.422,0.716,0.836,1.466,0.682,0.963
19,sand.jpg,0.045,0,0.989,0.994,0.782,1.134,0.882,0.963
20,sand.jpg,0.039,0,0.430,0.995,0.736,1.573,0.636,0.921
21,sand.jpg,0.027,0,0.149,0.990,0.833,1.070,0.934,0.971
22,sand.jpg,0.016,0,0.713,0.996,0.713,1.112,0.899,0.892
23,sand.jpg,0.010,0,1.564,0.991,0.772,1.609,0.621,0.960
24,sand.jpg,0.011,0,1.278,0.997,0.809,1.361,0.735,0.950
25,sand.jpg,0.047,0,0.996,1.275,0.762,1.124,0.890,0.937
26,sand.jpg,0.026,0,1.561,1.270,0.875,1.209,0.827,0.981
27,sand.jpg,0.018,0,0.409,1.273,0.837,1.265,0.791,0.968
28,sand.jpg,0.016,0,0.144,1.272,0.739,1.087,0.920,0.902
29,sand.jpg,0.015,0,1.279,1.274,0.681,1.130,0.885,0.909
30,sand.jpg,0.010,0,0.709,1.271,0.887,1.088,0.919,0.966
31,sand.jpg,0.051,0,0.713,1.557,0.875,1.067,0.937,0.979
32,sand.jpg,0.035,0,0.428,1.559,0.684,1.303,0.767,0.911
33,sand.jpg,0.022,0,0.997,1.564,0.764,1.802,0.555,0.943
34,sand.jpg,0.018,0,0.136,1.553,0.864,1.154,0.866,0.968
35,sand.jpg,0.013,0,1.569,1.561,0.791,1.621,0.617,0.957
36,sand.jpg,0.014,0,1.275,1.560,0.794,1.560,0.641,0.955
